Año;Salario Mínimo
2026;1750905
2025;1423500
2024;1300000
2023;1160000
2022;1000000
2021;908526
2020;877803
2019;828116
2018;781242
2017;737717
2016;689455
2015;644350
2014;616000
2013;589500
2012;566700
2011;535600
2010;515000
2009;496900
2008;461500
2007;433700
2006;408000
2005;381500
2004;358000
2003;332000
2002;309000
2001;286000
2000;260100
1999;236460
1998;203826
1997;172005
1996;142125
1995;118934
1994;98700
1993;81510
1992;65190
1991;51716
1990;41025
1989;32560
1988;25637
1987;20510
1986;16811
1985;13558
1984;11298
